"service_id","date","exception_type"
"GO102_1529","20151010","1"
"GO102_1529","20151017","1"
"GO102_1529","20151024","1"
"GO102_1529","20151031","1"
"GO102_1529","20151107","1"
"GO102_1529","20151114","1"
"GO102_1530","20150913","1"
"GO102_1530","20150920","1"
"GO102_1530","20150927","1"
"GO102_1530","20151004","1"
"GO102_1530","20151011","1"
"GO102_1530","20151018","1"
"GO102_1530","20151025","1"
"GO102_1530","20151101","1"
"GO102_1530","20151108","1"
"GO102_1530","20151115","1"
"GO102_1531","20150913","1"
"GO102_1531","20150920","1"
"GO102_1531","20150927","1"
"GO102_1531","20151004","1"
"GO102_1531","20151011","1"
"GO102_1531","20151018","1"
"GO102_1531","20151025","1"
"GO102_1531","20151101","1"
"GO102_1531","20151108","1"
"GO102_1531","20151115","1"
"GO102_1532","20150912","1"
"GO102_1532","20150913","1"
"GO102_1532","20150919","1"
"GO102_1532","20150920","1"
"GO102_1532","20150926","1"
"GO102_1532","20150927","1"
"GO102_1532","20151003","1"
"GO102_1532","20151004","1"
"GO102_1532","20151010","1"
"GO102_1532","20151011","1"
"GO102_1532","20151017","1"
"GO102_1532","20151018","1"
"GO102_1532","20151024","1"
"GO102_1532","20151025","1"
"GO102_1532","20151031","1"
"GO102_1532","20151101","1"
"GO102_1532","20151107","1"
"GO102_1532","20151108","1"
"GO102_1532","20151114","1"
"GO102_1532","20151115","1"
"GO102_1533","20150908","1"
"GO102_1533","20150909","1"
"GO102_1533","20150910","1"
"GO102_1533","20150911","1"
"GO102_1533","20150914","1"
"GO102_1533","20150915","1"
"GO102_1533","20150916","1"
"GO102_1533","20150917","1"
"GO102_1533","20150918","1"
"GO102_1533","20150921","1"
"GO102_1533","20150922","1"
"GO102_1533","20150923","1"
"GO102_1533","20150924","1"
"GO102_1533","20150925","1"
"GO102_1533","20150928","1"
"GO102_1533","20150929","1"
"GO102_1533","20150930","1"
"GO102_1533","20151001","1"
"GO102_1533","20151002","1"
"GO102_1533","20151005","1"
"GO102_1533","20151006","1"
"GO102_1533","20151007","1"
"GO102_1533","20151008","1"
"GO102_1533","20151009","1"
"GO102_1533","20151012","1"
"GO102_1533","20151013","1"
"GO102_1533","20151014","1"
"GO102_1533","20151015","1"
"GO102_1533","20151016","1"
"GO102_1533","20151019","1"
"GO102_1533","20151020","1"
"GO102_1533","20151021","1"
"GO102_1533","20151022","1"
"GO102_1533","20151023","1"
"GO102_1533","20151026","1"
"GO102_1533","20151027","1"
"GO102_1533","20151028","1"
"GO102_1533","20151029","1"
"GO102_1533","20151030","1"
"GO102_1533","20151102","1"
"GO102_1533","20151103","1"
"GO102_1533","20151104","1"
"GO102_1533","20151105","1"
"GO102_1533","20151106","1"
"GO102_1533","20151109","1"
"GO102_1533","20151110","1"
"GO102_1533","20151111","1"
"GO102_1533","20151112","1"
"GO102_1533","20151113","1"
"GO102_1534","20150912","1"
"GO102_1534","20150913","1"
"GO102_1534","20150919","1"
"GO102_1534","20150920","1"
"GO102_1534","20150926","1"
"GO102_1534","20150927","1"
"GO102_1534","20151003","1"
"GO102_1534","20151004","1"
"GO102_1534","20151010","1"
"GO102_1534","20151011","1"
"GO102_1534","20151017","1"
"GO102_1534","20151018","1"
"GO102_1534","20151024","1"
"GO102_1534","20151025","1"
"GO102_1534","20151031","1"
"GO102_1534","20151101","1"
"GO102_1534","20151107","1"
"GO102_1534","20151108","1"
"GO102_1534","20151114","1"
"GO102_1534","20151115","1"
"GO102_1535","20150914","1"
"GO102_1535","20150921","1"
"GO102_1535","20150928","1"
"GO102_1535","20151005","1"
"GO102_1535","20151012","1"
"GO102_1535","20151019","1"
"GO102_1535","20151026","1"
"GO102_1535","20151102","1"
"GO102_1535","20151109","1"
"GO102_1536","20150912","1"
"GO102_1536","20150919","1"
"GO102_1536","20150926","1"
"GO102_1536","20151003","1"
"GO102_1536","20151010","1"
"GO102_1536","20151017","1"
"GO102_1536","20151024","1"
"GO102_1536","20151031","1"
"GO102_1536","20151107","1"
"GO102_1536","20151114","1"
"GO102_1537","20150912","1"
"GO102_1537","20150913","1"
"GO102_1537","20150919","1"
"GO102_1537","20150920","1"
"GO102_1537","20150926","1"
"GO102_1537","20150927","1"
"GO102_1537","20151003","1"
"GO102_1537","20151004","1"
"GO102_1537","20151010","1"
"GO102_1537","20151011","1"
"GO102_1537","20151017","1"
"GO102_1537","20151018","1"
"GO102_1537","20151024","1"
"GO102_1537","20151025","1"
"GO102_1537","20151031","1"
"GO102_1537","20151101","1"
"GO102_1537","20151107","1"
"GO102_1537","20151108","1"
"GO102_1537","20151114","1"
"GO102_1537","20151115","1"
"GO102_1538","20150908","1"
"GO102_1538","20150909","1"
"GO102_1538","20150910","1"
"GO102_1538","20150911","1"
"GO102_1538","20150914","1"
"GO102_1538","20150915","1"
"GO102_1538","20150916","1"
"GO102_1538","20150917","1"
"GO102_1538","20150918","1"
"GO102_1538","20150921","1"
"GO102_1538","20150922","1"
"GO102_1538","20150923","1"
"GO102_1538","20150924","1"
"GO102_1538","20150925","1"
"GO102_1538","20150928","1"
"GO102_1538","20150929","1"
"GO102_1538","20150930","1"
"GO102_1538","20151001","1"
"GO102_1538","20151002","1"
"GO102_1538","20151005","1"
"GO102_1538","20151006","1"
"GO102_1538","20151007","1"
"GO102_1538","20151008","1"
"GO102_1538","20151009","1"
"GO102_1538","20151012","1"
"GO102_1538","20151013","1"
"GO102_1538","20151014","1"
"GO102_1538","20151015","1"
"GO102_1538","20151016","1"
"GO102_1538","20151019","1"
"GO102_1538","20151020","1"
"GO102_1538","20151021","1"
"GO102_1538","20151022","1"
"GO102_1538","20151023","1"
"GO102_1538","20151026","1"
"GO102_1538","20151027","1"
"GO102_1538","20151028","1"
"GO102_1538","20151029","1"
"GO102_1538","20151030","1"
"GO102_1538","20151102","1"
"GO102_1538","20151103","1"
"GO102_1538","20151104","1"
"GO102_1538","20151105","1"
"GO102_1538","20151106","1"
"GO102_1538","20151109","1"
"GO102_1538","20151110","1"
"GO102_1538","20151111","1"
"GO102_1538","20151112","1"
"GO102_1538","20151113","1"
"GO102_1539","20150908","1"
"GO102_1539","20150909","1"
"GO102_1539","20150910","1"
"GO102_1539","20150911","1"
"GO102_1539","20150915","1"
"GO102_1539","20150916","1"
"GO102_1539","20150917","1"
"GO102_1539","20150918","1"
"GO102_1539","20150922","1"
"GO102_1539","20150923","1"
"GO102_1539","20150924","1"
"GO102_1539","20150925","1"
"GO102_1539","20150929","1"
"GO102_1539","20150930","1"
"GO102_1539","20151001","1"
"GO102_1539","20151002","1"
"GO102_1539","20151006","1"
"GO102_1539","20151007","1"
"GO102_1539","20151008","1"
"GO102_1539","20151009","1"
"GO102_1539","20151013","1"
"GO102_1539","20151014","1"
"GO102_1539","20151015","1"
"GO102_1539","20151016","1"
"GO102_1539","20151020","1"
"GO102_1539","20151021","1"
"GO102_1539","20151022","1"
"GO102_1539","20151023","1"
"GO102_1539","20151027","1"
"GO102_1539","20151028","1"
"GO102_1539","20151029","1"
"GO102_1539","20151030","1"
"GO102_1539","20151103","1"
"GO102_1539","20151104","1"
"GO102_1539","20151105","1"
"GO102_1539","20151106","1"
"GO102_1539","20151110","1"
"GO102_1539","20151111","1"
"GO102_1539","20151112","1"
"GO102_1539","20151113","1"
"GO102_1540","20150908","1"
"GO102_1540","20150909","1"
"GO102_1540","20150910","1"
"GO102_1540","20150911","1"
"GO102_1540","20150914","1"
"GO102_1540","20150915","1"
"GO102_1540","20150916","1"
"GO102_1540","20150918","1"
"GO102_1540","20150921","1"
"GO102_1540","20150922","1"
"GO102_1540","20150923","1"
"GO102_1540","20151002","1"
"GO102_1541","20150908","1"
"GO102_1541","20150909","1"
"GO102_1541","20150910","1"
"GO102_1541","20150911","1"
"GO102_1542","20150912","1"
"GO102_1542","20150913","1"
"GO102_1543","20150913","1"
"GO102_1544","20150919","1"
"GO102_1544","20150920","1"
"GO102_1544","20150926","1"
"GO102_1544","20150927","1"
"GO102_1544","20151003","1"
"GO102_1544","20151004","1"
"GO102_1544","20151010","1"
"GO102_1544","20151011","1"
"GO102_1544","20151017","1"
"GO102_1544","20151018","1"
"GO102_1544","20151024","1"
"GO102_1544","20151025","1"
"GO102_1544","20151031","1"
"GO102_1544","20151101","1"
"GO102_1544","20151107","1"
"GO102_1544","20151108","1"
"GO102_1544","20151114","1"
"GO102_1544","20151115","1"
"GO102_1545","20150912","1"
"GO102_1545","20150919","1"
"GO102_1545","20150920","1"
"GO102_1545","20150926","1"
"GO102_1545","20150927","1"
"GO102_1545","20151003","1"
"GO102_1545","20151004","1"
"GO102_1545","20151010","1"
"GO102_1545","20151011","1"
"GO102_1545","20151017","1"
"GO102_1545","20151018","1"
"GO102_1545","20151024","1"
"GO102_1545","20151025","1"
"GO102_1545","20151031","1"
"GO102_1545","20151101","1"
"GO102_1545","20151107","1"
"GO102_1545","20151108","1"
"GO102_1545","20151114","1"
"GO102_1545","20151115","1"
"GO102_1546","20150913","1"
"GO102_1546","20150919","1"
"GO102_1546","20150920","1"
"GO102_1546","20150926","1"
"GO102_1546","20150927","1"
"GO102_1546","20151003","1"
"GO102_1546","20151004","1"
"GO102_1546","20151010","1"
"GO102_1546","20151011","1"
"GO102_1546","20151017","1"
"GO102_1546","20151018","1"
"GO102_1546","20151024","1"
"GO102_1546","20151025","1"
"GO102_1546","20151031","1"
"GO102_1546","20151101","1"
"GO102_1546","20151107","1"
"GO102_1546","20151108","1"
"GO102_1546","20151114","1"
"GO102_1546","20151115","1"
"GO102_1547","20150912","1"
"GO102_1548","20150921","1"
"GO102_1548","20150923","1"
"GO102_1548","20150928","1"
"GO102_1548","20151015","1"
"GO102_1548","20151022","1"
"GO102_1548","20151026","1"
