"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"4","GO102_1583","GO102_158067","Penn Station","8067","1","100"
"4","GO102_1573","GO102_158068","Ronkonkoma","8068","0","99"
"4","GO102_1583","GO102_158069","Penn Station","8069","1","100"
"4","GO102_1573","GO102_158070","Ronkonkoma","8070","0","99"
"4","GO102_1583","GO102_158071","Penn Station","8071","1","100"
"4","GO102_1573","GO102_158072","Ronkonkoma","8072","0","99"
"4","GO102_1583","GO102_158073","Penn Station","8073","1","100"
"4","GO102_1583","GO102_158090","Ronkonkoma","8090","0","99"
"4","GO102_1583","GO102_158091","Penn Station","8091","1","100"
"4","GO102_1583","GO102_158092","Ronkonkoma","8092","0","99"
"4","GO102_1583","GO102_158093","Penn Station","8093","1","100"
"4","GO102_1583","GO102_158094","Ronkonkoma","8094","0","99"
"4","GO102_1583","GO102_158095","Penn Station","8095","1","100"
"5","GO102_1573","GO102_158700","Montauk","8700","0","110"
"5","GO102_1573","GO102_158701","Jamaica","8701","1","118"
"5","GO102_1525","GO102_158702","Montauk","8702","0","110"
"5","GO102_1525","GO102_158703","Jamaica","8703","1","118"
"5","GO102_1573","GO102_158704","Montauk","8704","0","110"
"5","GO102_1522","GO102_158705","Jamaica","8705","1","118"
"5","GO102_1573","GO102_158706","Montauk","8706","0","110"
"5","GO102_1573","GO102_158709","Jamaica","8709","1","118"
"5","GO102_1573","GO102_158710","Montauk","8710","0","110"
"5","GO102_1573","GO102_158712","Montauk","8712","0","110"
"5","GO102_1573","GO102_158715","Jamaica","8715","1","118"
"5","GO102_1522","GO102_158717","Penn Station","8717","1","164"
"5","GO102_1573","GO102_158719","Jamaica","8719","1","118"
"5","GO102_1522","GO102_158721","Jamaica","8721","1","118"
"5","GO102_1573","GO102_158730","Speonk","8730","0","121"
"5","GO102_1573","GO102_158731","Jamaica","8731","1","165"
"5","GO102_1573","GO102_158732","Speonk","8732","0","125"
"5","GO102_1573","GO102_158733","Babylon","8733","1","166"
"5","GO102_1573","GO102_158735","Babylon","8735","1","166"
"5","GO102_1573","GO102_158736","Speonk","8736","0","125"
"5","GO102_1573","GO102_158737","Babylon","8737","1","166"
"5","GO102_1573","GO102_158738","Speonk","8738","0","125"
"5","GO102_1573","GO102_158739","Babylon","8739","1","166"
"5","GO102_1573","GO102_158740","Speonk","8740","0","121"
"5","GO102_1573","GO102_158742","Speonk","8742","0","125"
"5","GO102_1573","GO102_158743","Jamaica","8743","1","165"
"5","GO102_1573","GO102_158745","Jamaica","8745","1","165"
"5","GO102_1573","GO102_158760","Patchogue","8760","0","167"
"5","GO102_1573","GO102_158761","Babylon","8761","1","168"
"5","GO102_1573","GO102_158762","Patchogue","8762","0","169"
"5","GO102_1573","GO102_158763","Jamaica","8763","1","170"
"5","GO102_1573","GO102_158764","Patchogue","8764","0","169"
"5","GO102_1573","GO102_158765","Babylon","8765","1","168"
"5","GO102_1573","GO102_158766","Patchogue","8766","0","169"
"5","GO102_1573","GO102_158767","Babylon","8767","1","168"
"5","GO102_1573","GO102_158768","Patchogue","8768","0","169"
"5","GO102_1573","GO102_158769","Jamaica","8769","1","170"
"5","GO102_1573","GO102_158770","Patchogue","8770","0","169"
"5","GO102_1573","GO102_158771","Babylon","8771","1","171"
"5","GO102_1573","GO102_158772","Patchogue","8772","0","169"
"5","GO102_1573","GO102_158773","Babylon","8773","1","171"
"5","GO102_1573","GO102_158774","Patchogue","8774","0","167"
"5","GO102_1573","GO102_158775","Babylon","8775","1","171"
"5","GO102_1573","GO102_158776","Patchogue","8776","0","169"
"5","GO102_1573","GO102_158777","Jamaica","8777","1","170"
"5","GO102_1573","GO102_158778","Patchogue","8778","0","169"
"5","GO102_1529","GO102_158790","Speonk","8790","0","121"
"7","GO102_1573","GO102_158800","Far Rockaway","8800","0","139"
"7","GO102_1573","GO102_158801","Atlantic Terminal","8801","1","140"
"7","GO102_1573","GO102_158802","Far Rockaway","8802","0","172"
"7","GO102_1573","GO102_158803","Valley Stream","8803","1","173"
"7","GO102_1573","GO102_158804","Far Rockaway","8804","0","172"
"7","GO102_1573","GO102_158805","Atlantic Terminal","8805","1","140"
"7","GO102_1573","GO102_158806","Far Rockaway","8806","0","142"
